speed(RPM),x,y,z,torque (lb.in),power (HP),stiches
425,0.98,-0.043,-0.148,601,405,4250
426,0.98,-0.09,-0.117,601,406,4260
427,1.035,0.098,-0.125,601,407,4270
428,0.988,0.008,-0.145,601,408,4280
429,1.027,-0.078,-0.117,601,409,4290
430,0.984,-0.125,-0.152,601,410,4300
431,0.996,0,-0.145,601,411,4310
432,1.027,0.066,-0.125,601,412,4320
433,1,0.082,-0.133,601,413,4330
434,1,-0.043,-0.133,601,414,4340
435,0.977,0.066,-0.125,601,415,4350
436,0.969,-0.008,-0.129,601,416,4360
437,1.004,-0.035,-0.129,601,417,4370
438,0.957,0.102,-0.125,601,418,4380
439,0.984,-0.008,-0.117,602,419,4390
440,1.012,-0.008,-0.125,602,420,4400
441,0.957,0.082,-0.125,602,421,4410
442,0.977,-0.063,-0.117,602,422,4420
443,1.004,0.008,-0.121,602,423,4430
444,0.996,-0.117,-0.16,602,424,4440
445,0.965,-0.09,-0.113,602,425,4450
446,0.969,0.012,-0.117,602,426,4460
447,0.988,-0.094,-0.145,602,427,4470
448,0.965,-0.086,-0.121,602,428,4480
449,1.023,0.051,-0.129,602,429,4490
450,1.004,-0.035,-0.133,602,430,4500
451,0.965,-0.078,-0.125,602,431,4510
452,1.035,0.074,-0.125,602,432,4520
453,0.977,0.109,-0.141,602,433,4530
454,1.035,0.078,-0.129,602,434,4540
455,0.984,0.02,-0.141,603,435,4550
456,0.988,-0.082,-0.125,603,436,4560
457,0.984,-0.055,-0.125,603,437,4570
458,0.988,0.039,-0.141,603,438,4580
459,1.043,-0.078,-0.164,603,439,4590
460,0.965,-0.137,-0.148,603,440,4600
461,1,0.039,-0.137,603,441,4610
462,0.984,-0.047,-0.125,603,442,4620
463,0.957,-0.164,-0.148,603,443,4630
464,0.996,0.066,-0.133,603,444,4640
465,1.023,-0.031,-0.125,603,445,4650
466,0.953,-0.148,-0.152,603,446,4660
467,1,0.125,-0.129,603,447,4670
468,0.965,-0.012,-0.141,603,448,4680
469,0.965,-0.133,-0.156,603,449,4690
470,0.992,0.141,-0.125,603,450,4700
471,1.016,0.008,-0.129,603,451,4710
472,0.992,0.082,-0.113,604,452,4720
473,1.012,0.063,-0.125,604,453,4730
474,0.98,-0.086,-0.148,604,454,4740
475,0.98,-0.07,-0.117,604,455,4750
476,1.023,0.063,-0.129,604,456,4760
477,0.977,-0.047,-0.156,604,457,4770
478,0.98,-0.105,-0.125,604,458,4780
479,1.016,0.016,-0.133,604,459,4790
480,0.988,-0.023,-0.152,604,460,4800
481,0.977,-0.102,-0.125,604,461,4810
482,1.039,0.098,-0.125,604,462,4820
483,0.977,-0.004,-0.145,604,463,4830
484,0.984,-0.078,-0.117,604,464,4840
485,1.047,0.109,-0.121,604,465,4850
486,0.992,0.012,-0.129,604,466,4860
487,1.027,0.086,-0.117,604,467,4870
488,0.984,0.109,-0.113,604,468,4880
489,0.992,-0.027,-0.117,604,469,4890
490,0.969,-0.051,-0.121,605,470,4900
491,1,0.113,-0.129,605,471,4910
492,0.996,-0.008,-0.125,605,472,4920
493,0.973,-0.125,-0.121,605,473,4930
494,1.008,0.102,-0.129,605,474,4940
495,1.008,0,-0.121,605,475,4950
496,0.996,-0.137,-0.16,605,476,4960
497,1.016,-0.031,-0.133,605,477,4970
498,1.016,0.031,-0.125,605,478,4980
499,0.984,0.148,-0.156,605,479,4990
500,1.031,0.094,-0.121,605,480,5000
501,0.98,-0.012,-0.129,605,481,5010
502,0.98,0.117,-0.117,605,482,5020
503,0.977,-0.117,-0.125,605,483,5030
504,1,-0.008,-0.141,605,484,5040
505,0.984,0.094,-0.125,605,485,5050
506,0.977,-0.129,-0.145,605,486,5060
507,1.004,0.027,-0.141,605,487,5070
508,0.996,-0.027,-0.125,605,488,5080
509,0.969,-0.133,-0.137,605,489,5090
510,1,0.055,-0.145,606,490,5100
511,1.039,-0.059,-0.121,606,491,5110
512,0.98,-0.105,-0.145,606,492,5120
513,0.988,0.078,-0.133,606,493,5130
514,1.039,-0.043,-0.129,606,494,5140
515,0.98,-0.023,-0.133,606,495,5150
516,0.988,0.094,-0.125,606,496,5160
517,1.047,-0.039,-0.102,606,497,5170
518,0.965,-0.133,-0.156,606,498,5180
519,0.98,0.078,-0.125,606,499,5190
520,1,0.043,-0.105,606,500,5200
521,1.004,0.156,-0.113,606,501,5210
522,1.008,0.047,-0.121,606,502,5220
523,0.977,-0.074,-0.16,606,503,5230
524,0.965,-0.09,-0.121,606,504,5240
525,1.047,0.078,-0.121,606,505,5250
526,0.984,-0.004,-0.145,606,506,5260
527,0.965,-0.082,-0.117,606,507,5270
528,1.035,0.102,-0.117,606,508,5280
529,0.984,-0.023,-0.141,606,509,5290
530,0.98,-0.059,-0.117,606,510,5300
531,1.039,0.113,-0.117,607,511,5310
532,0.984,-0.012,-0.137,607,512,5320
533,1.023,-0.027,-0.141,607,513,5330
534,1.027,0.109,-0.121,607,514,5340
535,0.969,0.02,-0.137,607,515,5350
536,1.039,0.117,-0.121,607,516,5362
537,1.008,0.059,-0.133,607,517,5370
538,1,-0.031,-0.129,607,518,5380
539,0.957,-0.16,-0.125,607,519,5390
540,1,0.066,-0.125,607,520,5400
541,1.008,-0.008,-0.125,607,521,5410
542,0.961,-0.145,-0.129,607,522,5420
543,0.996,0.145,-0.125,607,523,5430
544,1.012,0,-0.121,607,524,5440
545,0.988,0.133,-0.145,607,525,5450
546,1.035,0.07,-0.141,607,526,5460
547,0.984,-0.035,-0.148,607,527,5470
548,0.98,0.113,-0.125,607,528,5480
549,0.98,-0.082,-0.117,607,529,5490
550,0.988,-0.035,-0.145,607,530,5500
551,0.992,0.031,-0.137,607,531,5510
552,0.973,-0.098,-0.152,607,532,5520
553,0.992,-0.012,-0.148,607,533,5530
554,0.977,-0.09,-0.109,607,534,5540
555,1.039,0.074,-0.121,608,535,5550
556,0.988,0.012,-0.141,608,536,5560
557,1.051,-0.094,-0.125,608,537,5570
558,0.996,-0.051,-0.133,608,538,5580
559,0.984,0.035,-0.137,608,539,5590
560,1.098,-0.063,-0.156,608,540,5600
561,0.969,-0.148,-0.137,608,541,5610
562,1,0.043,-0.141,608,542,5620
563,1.023,-0.047,-0.125,608,543,5630
564,0.957,-0.156,-0.152,608,544,5640
565,1.004,0.035,-0.125,608,545,5650
566,1.035,0.066,-0.125,608,546,5660
567,1.008,0.152,-0.121,608,547,5670
568,1.027,0.031,-0.121,608,548,5680
569,0.977,-0.031,-0.152,608,549,5690
570,0.961,-0.074,-0.113,608,550,5700
571,1.031,0.051,-0.129,608,551,5710
572,0.977,-0.07,-0.141,608,552,5720
573,0.977,-0.066,-0.109,608,553,5730
574,1.059,0.047,-0.137,608,554,5740
575,0.988,-0.055,-0.148,608,555,5750
576,1,-0.027,-0.125,608,556,5760
577,1.016,0.082,-0.125,608,557,5770
578,0.984,-0.043,-0.156,608,558,5780
579,0.969,-0.09,-0.125,608,559,5790
580,1.023,0.07,-0.121,609,560,5800
581,0.977,-0.027,-0.145,609,561,5810
582,0.98,-0.098,-0.129,609,562,5820
583,1.023,0.016,-0.137,609,563,5830
584,0.965,0.066,-0.145,609,564,5840
585,1.055,0.117,-0.121,609,565,5850
586,0.992,0.098,-0.125,609,566,5860
587,0.992,-0.023,-0.129,609,567,5870
588,0.961,-0.133,-0.121,609,568,5880
589,0.996,0.102,-0.125,609,569,5890
590,0.961,0.008,-0.121,609,570,5900
591,0.996,0.121,-0.152,609,571,5910
592,1.016,0.047,-0.125,609,572,5920
593,0.969,-0.105,-0.156,609,573,5930
594,0.973,0.078,-0.133,609,574,5940
595,0.996,-0.043,-0.109,609,575,5950
596,0.969,-0.082,-0.152,609,576,5960
597,0.98,0.102,-0.121,609,577,5970
598,1,-0.055,-0.141,609,578,5980
599,0.98,-0.059,-0.152,609,579,5990
600,0.977,-0.094,-0.109,609,580,6000
601,1.016,0.02,-0.129,609,581,6010
602,0.977,-0.027,-0.148,609,582,6020
603,0.969,-0.098,-0.105,609,583,6030
604,1.02,0.082,-0.129,609,584,6040
605,0.98,-0.008,-0.145,609,585,6050
606,0.98,-0.09,-0.117,609,586,6060
607,1.035,0.121,-0.113,609,587,6070
608,0.996,0.02,-0.129,610,588,6080
609,1.043,-0.074,-0.125,610,589,6090
610,0.965,-0.148,-0.152,610,590,6100
611,0.992,0.027,-0.133,610,591,6110
612,1.039,0.074,-0.121,610,592,6120
613,1.004,0.113,-0.125,610,593,6130
614,1.012,-0.012,-0.125,610,594,6140
615,0.969,0.004,-0.129,610,595,6150
616,0.969,-0.043,-0.117,610,596,6160
617,0.996,0.008,-0.117,610,597,6170
618,0.969,-0.125,-0.156,610,598,6180
619,0.973,-0.035,-0.125,610,599,6190
620,1.012,0.023,-0.129,610,600,6200
621,0.996,-0.133,-0.16,610,601,6210
622,0.98,-0.035,-0.129,610,602,6220
623,1.023,0.031,-0.117,610,603,6230
624,0.988,-0.121,-0.152,610,604,6240
625,0.965,-0.086,-0.117,610,605,6250
626,1.02,0.035,-0.129,610,606,6260
627,0.973,-0.09,-0.152,610,607,6270
628,0.969,-0.09,-0.113,610,608,6280
629,0.98,0.023,-0.133,610,609,6290
630,0.973,0.102,-0.152,610,610,6300
631,1.07,0.117,-0.152,610,611,6312
632,0.988,0.023,-0.141,610,612,6320
633,0.992,-0.035,-0.121,610,613,6330
634,0.973,-0.133,-0.121,610,614,6340
635,1.004,0.059,-0.141,610,615,6350
636,0.984,-0.035,-0.133,610,616,6360
637,0.969,-0.129,-0.152,610,617,6370
638,1.004,0.078,-0.141,610,618,6380
639,0.996,-0.055,-0.125,611,619,6390
640,0.988,-0.086,-0.137,611,620,6400
641,1,0.098,-0.129,611,621,6410
642,1.035,-0.027,-0.129,611,622,6420
643,0.98,-0.09,-0.141,611,623,6430
644,1.004,0.113,-0.133,611,624,6440
